CMDLINE python try_STARS_prefetched.py
MEM 2066.328125 1695338506.7682
MEM 2066.328125 1695338506.8712
MEM 2066.328125 1695338506.9731
MEM 2066.328125 1695338507.0783
MEM 2066.328125 1695338507.1836
MEM 2066.328125 1695338507.2890
MEM 2066.328125 1695338507.3930
MEM 2066.328125 1695338507.4983
MEM 2066.328125 1695338507.6035
MEM 2066.328125 1695338507.7060
MEM 2066.328125 1695338507.8111
MEM 2066.328125 1695338507.9164
MEM 2066.328125 1695338508.0238
MEM 2066.328125 1695338508.1290
MEM 2066.328125 1695338508.2341
MEM 2066.328125 1695338508.3396
MEM 2066.328125 1695338508.4448
MEM 2066.328125 1695338508.5499
MEM 2066.328125 1695338508.6551
MEM 2066.328125 1695338508.7603
MEM 2066.328125 1695338508.8772
MEM 2066.328125 1695338508.9820
MEM 2066.328125 1695338509.0874
MEM 2066.328125 1695338509.1915
MEM 2066.328125 1695338509.2968
MEM 2066.328125 1695338509.3999
MEM 2066.328125 1695338509.5014
MEM 2066.328125 1695338509.6067
MEM 2066.328125 1695338509.7119
MEM 2066.328125 1695338509.8158
MEM 2066.328125 1695338509.9209
MEM 2066.328125 1695338510.0250
MEM 2066.328125 1695338510.1282
MEM 2066.328125 1695338510.2352
MEM 2066.328125 1695338510.3381
MEM 2066.328125 1695338510.4434
MEM 2066.328125 1695338510.5486
MEM 2066.328125 1695338510.6531
MEM 2066.328125 1695338510.7561
MEM 2066.328125 1695338510.8582
